"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,9.7718561781347,95.73,1.0234,0.0254,693900,0.872219799389446,14.3351458230351,0.054813373684969,,0.0678875261579414,0.0998940630363634,153
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,7.5552108048914,96.37,3.4373,1.0175,633400,0.300870942201108,7.1017923571187,0.0170524155352068,,0.0544724139530104,0.0313035630060524,66
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,4.10293849242562,81.92,,,223300,0.359550561797753,7.30418068236425,0.0339543215405285,,0.228913937602891,0.040972971703156,84
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",3,3.39569264464318,87.6,7.2419,5.6924,140300,1.00791936645068,7.18105423987777,0.0328153955808981,,0.148186994559375,0.0748865063761205,84
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",4,8.48147472166454,88.21,5.9816,0.4927,218600,0.598251265531523,9.68389362769694,0.0380695333943275,,0.112508516965411,0.0206925031263307,64
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",5,5.55119547362657,81.94,6.9234,1.73,227000,1.02358700489542,11.3837095191364,0.0590220264317181,,0.162197221929523,0.0644017863121628,60
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",6,8.76528563606498,96.79,2.5879,0.7721,586800,0.427862399452336,7.92716571638771,0.0329873892297206,,0.0637254718315289,0.015708405336935,51
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",7,9.88684066435481,96.65,2.2737,0.6355,170800,1.12492599171107,8.92857142857143,0.0484953161592505,,,,62
"City","San Jose","San Jose","CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",8,9.61489322869137,97.97,2.2161,0.3768,912300,0.784357048166151,9.32294787297783,0.0309251342760057,,0.030384420274499,0.0110590876127439,40
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","""Jacksonville, FL""",9,4.53276145281986,80.76,,,154900,0.388852883992223,10.4062722736992,0.0427243382827631,,0.162267910008616,0.0613075037860584,75
"City","San Francisco","San Francisco","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",10,9.776419054572,98.6,1.0451,0.2208,1236700,0.471199935006905,10.9546025479993,0.0234341392415298,,0.0341619577705191,0.00825197892531821,43.5
"City","Austin","Austin","TX","Austin, TX","""Austin-Round Rock, TX""",11,8.68771673663077,100,,,327000,0.337526848726603,8.27814569536424,0.0328409785932722,,,,57
"City","Detroit","Detroit","MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,9.08924986311371,100,,,47700,4.60526315789474,33.9887640449438,0.0900000000000001,,0.361762843797311,0.0402413190935836,108.5
"City","Columbus","Columbus","OH","Columbus, OH","""Columbus, OH""",13,3.84102938492426,85.8,6.5502,6.7884,131700,0.765110941086458,8.57378400659522,0.0424145785876993,,0.116894165221145,0.0440141937762667,54
"City","Memphis","Memphis","TN","Memphis, TN","""Memphis, TN-MS-AR""",14,1.10147837196569,80.73,9.0741,4.19,79300,-1.85643564356436,2.85343709468223,0.0396090794451449,,0.149323320834595,0.0621360609202862,78
"City","Charlotte","Charlotte","NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",15,6.22741376163533,91.03,6.6284,2.0137,190900,0.898520084566596,9.52380952380952,0.0442902042954427,,0.103314848331934,0.0314026296538218,53
"City","El Paso","El Paso","TX","El Paso, TX","""El Paso, TX""",16,0.389669647745939,0,,,113600,-0.350877192982456,0.620017714791851,0.0255369718309859,,,,91
"City","Boston","Boston","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",17,8.58733345501004,97.69,,4.7159,561400,0.537249283667622,9.28557523846603,0.0391360883505523,,0.0937354731973093,0.0153140829349574,68
"City","Seattle","Seattle","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",18,9.85763825515605,98.27,1.8901,0.5166,695600,0.913970694907878,14.6341463414634,0.0612435307648074,,0.0563962387522835,0.00473470067886933,38
"City","Baltimore","Baltimore","MD","Baltimore, MD","""Baltimore-Columbia-Towson, MD""",19,2.32980470888848,82.21,12.0165,3.4898,123000,0.737100737100737,4.32569974554707,0.0314959349593495,,0.223436429412225,0.0692461924137496,98
"City","Denver","Denver","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",20,9.45154225223581,98.89,1.038,0.083,386700,0.285269709543568,7.77591973244147,0.0306051202482545,,0.0597004636731827,0.00281943782069466,51
"City","Washington","Washington","DC","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",21,5.4517247672933,97.68,1.8441,1.5138,538700,-0.166790214974055,2.90353390639924,0.0229886764432894,,0.0960487733081158,0.045304544508765,63
"City","Nashville","Nashville","TN","Nashville, TN","""Nashville-Davidson--Murfreesboro--Franklin, TN""",22,9.69428727870049,96.53,1.9917,1.3726,237800,0.933786078098472,13.4541984732824,0.0403195962994112,,0.0695724353290184,0.00792606558948664,58
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",23,4.2918415769301,80.62,4.3748,2.7826,108900,0.92678405931418,8.14299900695134,0.0361157024793388,,0.242027937036349,0.0557496546501527,76
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",24,6.99853987954006,85.25,6.0721,1.3799,167700,0.78125,8.40336134453782,0.0420333929636256,,0.143506060923195,0.0342907903995527,67
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",25,7.84175944515423,99.04,2.7232,1.2832,409800,-0.146198830409357,2.45,0.0284065397755002,,0.0369509502426822,0.0152183458899335,54
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK","""Oklahoma City, OK""",26,7.99780981931009,92.69,2.5963,0.1379,133700,0.526315789473684,3.00462249614792,0.0313762154076289,,0.0884625322210376,0.0348251561451208,72
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",27,9.65139624018981,100,1.1038,0.0389,156600,0.902061855670103,8.29875518672199,0.0336845466155811,,0.0591048248009756,0.00794160376161505,53
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",28,0.489140354079212,75,,,183400,-0.650054171180932,5.1605504587156,0.0129443838604144,,0.121093361619476,0.0542196141954667,72
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",29,5.22905639715276,88,6.0735,2.327,217600,0.415320719889248,9.78809283551968,0.0342922794117646,,0.127837851705125,0.0360267240729383,58
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",30,7.83628399342946,93.14,5.3576,1.0737,308300,0.52168242582328,10.8594030924128,0.0472267272137528,,0.0918833403624543,0.0279207444435846,48.5
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",31,7.89286366125205,89.71,3.8656,0.5573,226800,0.487372618520159,6.67920978363123,0.0301322751322752,,0.0939940211940775,0.0195372474042479,56
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",32,6.40171564154043,94.49,2.4498,0.6262,559700,0.340623879526712,6.26542623884564,0.0115115240307309,,0.067039492619775,0.0315224534835336,56
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",33,1.62712173754335,81.69,,,123100,0,7.32345248474281,0.0314297319252641,,0.177398335450423,0.0274919334620819,59
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",34,1.62164628581858,84.4,5.6915,4.2384,260300,0.115384615384615,3.12995245641838,0.0188666922781406,,0.153159501140609,0.029666657636875,74
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",35,9.08286183610148,97.94,1.1294,,258500,0.779727095516569,9.48750529436679,0.0372108317214701,,0.0810629696253376,0.0107712998812719,53
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",36,8.79266289468881,100,,,217300,1.44724556489262,10.7543323139653,0.0643810400368154,,0.194865766897378,0.0297805941581487,63
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",37,2.34988136521263,84.75,,,306000,0.99009900990099,2.75352585627938,0.00454248366013066,,0.125949698887346,0.0588098354150914,177.5
"City","Oakland","Oakland","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",38,7.38090892498631,92.31,3.4401,1.5812,687000,0.029120559114735,7.10944808231992,0.0220538573508007,,0.0402879983283978,0.0243726854026248,46
"City","Tulsa","Tulsa","OK","Tulsa, OK","""Tulsa, OK""",39,3.61106041248403,,,,111200,0.09000900090009,2.29990800367985,0.0316726618705037,,0.0891486483044078,0.0350158783896636,73
"City","Cleveland","Cleveland","OH","Cleveland, OH","""Cleveland-Elyria, OH""",40,2.34805621463771,71.88,13.8793,6.5517,59300,0.508474576271186,11.6760828625235,0.0373018549747048,,0.311175993801947,0.0706509473816432,83
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI","""Urban Honolulu, HI""",41,7.76145281985764,92.48,0.1488,,672400,-0.0891530460624071,4.24806201550388,0.0174613325401547,,0.0445349597198225,0.0145202323936215,81
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",42,5.12319766380726,86.98,6.8158,2.1118,237900,0.549450549450549,5.63943161634103,0.0237200504413619,,0.0970857181588877,0.0133865753557121,62
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA","""Baton Rouge, LA""",43,4.37671107866399,90.68,,,163300,0.86473131562693,8.28912466843501,0.0258297611757501,,0.0915415831078846,0.0480839858388184,63
"City","New Orleans","New Orleans","LA","New Orleans, LA","""New Orleans-Metairie, LA""",44,4.61398065340391,90.06,,,172000,0.998238402818555,-0.807381776239908,,,0.106489511819658,0.0529835904829087,88.5
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",45,9.25716371600657,98.53,1.6569,0.4017,182400,0.385250412768299,7.6741440377804,0.0432620614035089,,,,47
"City","Raleigh","Raleigh","NC","Raleigh, NC","""Raleigh, NC""",46,7.60266471983939,94.12,1.9087,0.2546,224200,0.313199105145414,5.06091846298032,0.0353746654772524,,0.0776142454950553,0.0173965923692633,50
"City","Wichita","Wichita","KS","Wichita, KS","""Wichita, KS""",47,3.32998722394598,96.15,,,121800,-0.733496332518337,5.27225583405359,,,0.0631696791698447,0.0188481453273803,62
"City","Tampa","Tampa","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",48,7.62365395145099,86.59,,,188000,0.588550026752274,12.8451380552221,0.0432712765957446,,0.114122026244868,0.0641632040732201,78
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",49,6.55229056397153,93.91,2.8915,0.8866,572300,0.210120819471196,4.87447315374748,0.0112056613664162,,0.0503829318455338,0.0260619746042599,58
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",50,6.67731337835371,93.94,3.4732,1.14,520500,0.405092592592593,9.32577189666037,0.0267166186359269,,0.0673460717680296,0.0356096189021687,56
"City","Aurora","Aurora","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",51,9.4259901441869,98.8,1.9755,0.1166,290900,0.657439446366782,9.1966966966967,0.0340116878652459,,0.0550861010985327,0.00747905364622037,46
"City","Saint Louis","Saint Louis","MO","St. Louis, MO","""St. Louis, MO-IL""",52,6.04854900529294,80.52,7.1151,5.6176,131300,4.95603517186251,18.2882882882883,0.0688194973343488,,0.159043045903023,0.0383094358248027,69
"City","Cincinnati","Cincinnati","OH","Cincinnati, OH","""Cincinnati, OH-KY-IN""",53,4.0728235079394,100,,2.798,126400,0.636942675159236,7.11864406779661,0.0315189873417721,,0.131047764399023,0.0434041228359064,66
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA","""Pittsburgh, PA""",54,8.7671107866399,93.51,0.5153,0.6094,126200,1.28410914927769,6.13961312026913,0.0349207606973059,,0.0885033756495306,0.025712665089552,72
"City","Riverside","Riverside","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",55,6.91549552838109,90.97,3.2183,1.3886,353400,-0.197684269980232,5.39815090963316,0.0504668930390493,,0.0887577185226092,0.0344881991617398,62
"City","Marietta","Marietta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",56,7.20660704508122,96.55,,,260100,0.308522946394138,5.09090909090909,0.0453787004998079,,0.0789484628378756,0.0186676687622299,60
